Time[s] vol0[mm^3] vol1[mm^3] flux0[mm^3/s] flux1[mm^3/s]
0 0 165.027 -0 -0
0.0173611 0 165.027 -0 -0
0.0347222 0 165.027 -0 -0
0.0520833 0 165.027 -0 -0
0.0694444 0 165.027 -0 -0
0.0868056 0 165.027 -0 -0
0.104167 0 165.027 -0 -0
0.121528 0 165.027 -0 -0
0.138889 0 165.027 -0 -0
0.15625 0 165.027 -0 -0
0.173611 0 165.027 -0 -0
0.190972 0 165.027 -0 -0
0.208333 0 165.027 -0 -0
0.225694 0 165.027 -0 -0
0.243056 0 165.027 -0 -0
0.260417 0 165.027 -0 -0
0.277778 0 165.027 -0 -0
0.295139 0 165.027 -0 -0
0.3125 0 165.027 -0 -0
0.329861 0 165.027 -0 -0
0.347222 0 165.027 -0 -0
0.364583 0 165.027 -0 -0
0.381944 0 165.027 -0 -0
0.399306 0.240816 164.787 13.871 -0
0.416667 0.624812 164.403 22.1181 -0
0.434028 1.20798 163.819 33.5907 -0
0.451389 1.97012 163.057 43.8991 -0
0.46875 2.97447 162.053 57.8505 -0
0.486111 4.17226 160.855 68.9929 -0
0.503472 5.58556 159.442 81.4059 -0
0.520833 7.20159 157.826 93.0836 -0
0.538194 9.00844 156.019 104.074 -0
0.555556 11.0471 153.98 117.426 -0
0.572917 13.2927 151.735 129.347 -0
0.590278 15.7117 149.316 139.333 -0
0.607639 18.3568 146.671 152.358 -0
0.625 21.1927 143.835 163.35 -0
0.642361 24.2187 140.809 174.298 -0
0.659722 27.441 137.586 185.602 -0
0.677083 30.8415 134.186 195.872 -0
0.694444 34.4288 130.599 206.625 -0
0.711806 38.1976 126.83 217.083 -0
0.729167 42.1453 122.882 227.39 -0
0.746528 46.2579 118.769 236.886 -0
0.763889 50.522 114.505 245.61 -0
0.78125 54.9284 110.099 253.812 -0
0.798611 59.488 105.539 262.629 -0
0.815972 64.2136 100.814 272.194 -0
0.833333 69.0536 95.9738 278.787 -0
0.850694 74.0286 90.9988 286.56 -0
0.868056 79.1093 85.9181 292.646 -0
0.885417 84.2904 80.737 298.434 -0
0.902778 89.5746 75.4528 304.367 -0
0.920139 94.9223 70.1051 308.027 -0
0.9375 100.359 64.6681 313.171 -0
0.954861 105.859 59.1682 316.797 -0
0.972222 111.429 53.5984 320.82 -0
0.989583 117.034 47.9938 322.825 -0
1.00694 122.656 42.3717 323.831 -0
1.02431 128.289 36.7383 324.484 -0
1.04167 133.908 31.1192 323.663 -0
1.05903 139.515 25.5122 322.964 -0
1.07639 145.068 19.9593 319.846 -0
1.09375 150.548 14.479 315.667 -0
1.11111 155.894 9.13355 307.895 -0
1.12847 161.081 3.94672 298.762 -0
1.14583 165.027 0 282.95 -0
1.16319 165.027 0 -0 -0
1.18056 165.027 0 -0 -0
1.19792 165.027 0 -0 -0
1.21528 165.027 0 -0 -0
1.23264 165.027 0 -0 -0
1.25 165.027 0 -0 -0
1.26736 165.027 0 -0 -0
1.28472 165.027 0 -0 -0
1.30208 165.027 0 -0 -0
1.31944 165.027 0 -0 -0
1.33681 165.027 0 -0 -0
1.35417 165.027 0 -0 -0
1.37153 165.027 0 -0 -0
1.38889 165.027 0 -0 -0
1.40625 165.027 0 -0 -0
1.42361 165.027 0 -0 -0
1.44097 165.027 0 -0 -0
1.45833 165.027 0 -0 -0
1.47569 165.027 0 -0 -0
1.49306 165.027 0 -0 -0
1.51042 165.027 0 -0 -0
1.52778 165.027 0 -0 -0
1.54514 165.027 0 -0 -0
1.5625 165.027 0 -0 -0
1.57986 165.027 0 -0 -0
1.59722 165.027 0 -0 -0
1.61458 165.027 0 -0 -0
1.63194 165.027 0 -0 -0
1.64931 164.787 0.240816 -0 -13.871
1.66667 164.403 0.624812 -0 -22.1181
1.68403 163.819 1.20798 -0 -33.5907
1.70139 163.057 1.97012 -0 -43.8991
1.71875 162.053 2.97447 -0 -57.8505
1.73611 160.855 4.17226 -0 -68.9929
1.75347 159.442 5.58556 -0 -81.4059
1.77083 157.826 7.20159 -0 -93.0836
1.78819 156.019 9.00844 -0 -104.074
1.80556 153.98 11.0471 -0 -117.426
1.82292 151.735 13.2927 -0 -129.347
1.84028 149.316 15.7117 -0 -139.333
1.85764 146.671 18.3568 -0 -152.358
1.875 143.835 21.1927 -0 -163.35
1.89236 140.809 24.2187 -0 -174.298
1.90972 137.586 27.441 -0 -185.602
1.92708 134.186 30.8415 -0 -195.872
1.94444 130.599 34.4288 -0 -206.625
