Time[s] vol0[mm^3] vol1[mm^3] flux0[mm^3/s] flux1[mm^3/s]
0 0 165.027 -0 -0
0.0231481 0 165.027 -0 -0
0.0462963 0 165.027 -0 -0
0.0694444 0 165.027 -0 -0
0.0925926 0 165.027 -0 -0
0.115741 0 165.027 -0 -0
0.138889 0 165.027 -0 -0
0.162037 0 165.027 -0 -0
0.185185 0 165.027 -0 -0
0.208333 0 165.027 -0 -0
0.231481 0 165.027 -0 -0
0.25463 0 165.027 -0 -0
0.277778 0 165.027 -0 -0
0.300926 0 165.027 -0 -0
0.324074 0 165.027 -0 -0
0.347222 0 165.027 -0 -0
0.37037 0 165.027 -0 -0
0.393519 0 165.027 -0 -0
0.416667 0 165.027 -0 -0
0.439815 0 165.027 -0 -0
0.462963 0 165.027 -0 -0
0.486111 0 165.027 -0 -0
0.509259 0 165.027 -0 -0
0.532407 0.321088 164.706 13.871 -0
0.555556 0.79134 164.236 20.3149 -0
0.578704 1.48696 163.54 30.0507 -0
0.601852 2.46627 162.561 42.3061 -0
0.625 3.71051 161.317 53.7511 -0
0.648148 5.20454 159.823 64.5422 -0
0.671296 6.95288 158.075 75.5283 -0
0.694444 8.91674 156.111 84.839 -0
0.717593 11.1843 153.843 97.9579 -0
0.740741 13.7161 151.311 109.374 -0
0.763889 16.4927 148.535 119.95 -0
0.787037 19.4959 145.532 129.735 -0
0.810185 22.7319 142.295 139.797 -0
0.833333 26.2007 138.827 149.853 -0
0.856481 29.9028 135.125 159.929 -0
0.87963 33.8343 131.193 169.843 -0
0.902778 37.985 127.042 179.309 -0
0.925926 42.3469 122.68 188.434 -0
0.949074 46.9288 118.099 197.94 -0
0.972222 51.6966 113.331 205.966 -0
0.99537 56.6354 108.392 213.359 -0
1.01852 61.7646 103.263 221.58 -0
1.04167 67.0376 97.9898 227.792 -0
1.06481 72.5062 92.5212 236.244 -0
1.08796 78.1561 86.8713 244.078 -0
1.11111 83.9184 81.109 248.93 -0
1.13426 89.8026 75.2248 254.197 -0
1.15741 95.7951 69.2323 258.876 -0
1.18056 101.898 63.1292 263.652 -0
1.2037 108.059 56.9685 266.142 -0
1.22685 114.304 50.723 269.804 -0
1.25 120.588 44.4397 271.439 -0
1.27315 126.869 38.1584 271.354 -0
1.2963 133.169 31.8581 272.175 -0
1.31944 139.439 25.5879 270.87 -0
1.34259 145.631 19.3963 267.479 -0
1.36574 151.705 13.3222 262.399 -0
1.38889 157.634 7.39298 256.144 -0
1.41204 163.32 1.70765 245.606 -0
1.43519 163.32 1.70765 -0 -0
1.45833 163.32 1.70765 -0 -0
1.48148 163.32 1.70765 -0 -0
1.50463 163.32 1.70765 -0 -0
1.52778 163.32 1.70765 -0 -0
1.55093 163.32 1.70765 -0 -0
1.57407 163.32 1.70765 -0 -0
1.59722 163.32 1.70765 -0 -0
1.62037 163.32 1.70765 -0 -0
1.64352 163.32 1.70765 -0 -0
1.66667 163.32 1.70765 -0 -0
1.68981 163.32 1.70765 -0 -0
1.71296 163.32 1.70765 -0 -0
1.73611 163.32 1.70765 -0 -0
1.75926 163.32 1.70765 -0 -0
1.78241 163.32 1.70765 -0 -0
1.80556 163.32 1.70765 -0 -0
1.8287 163.32 1.70765 -0 -0
1.85185 163.32 1.70765 -0 -0
1.875 163.32 1.70765 -0 -0
1.89815 163.32 1.70765 -0 -0
1.9213 163.32 1.70765 -0 -0
1.94444 163.32 1.70765 -0 -0
1.96759 163.32 1.70765 -0 -0
1.99074 163.32 1.70765 -0 -0
2.01389 163.32 1.70765 -0 -0
2.03704 163.32 1.70765 -0 -0
2.06019 163.32 1.70765 -0 -0
2.08333 163.32 1.70765 -0 -0
2.10648 163.32 1.70765 -0 -0
2.12963 163.32 1.70765 -0 -0
2.15278 163.32 1.70765 -0 -0
2.17593 163.32 1.70765 -0 -0
2.19907 163.32 1.70765 -0 -0
2.22222 163.242 1.78513 -0 -3.34736
2.24537 162.747 2.28087 -0 -21.4157
2.26852 161.912 3.11556 -0 -36.0588
2.29167 160.783 4.2439 -0 -48.7445
2.31481 159.359 5.66865 -0 -61.5488
2.33796 157.67 7.35751 -0 -72.9588
2.36111 155.714 9.31352 -0 -84.4999
2.38426 153.485 11.5421 -0 -96.2744
2.40741 150.976 14.0517 -0 -108.413
2.43056 148.229 16.7983 -0 -118.653
2.4537 145.25 19.7771 -0 -128.687
2.47685 142.035 22.9925 -0 -138.905
2.5 138.584 26.4434 -0 -149.079
2.52315 134.898 30.129 -0 -159.216
2.5463 130.972 34.0557 -0 -169.633
2.56944 126.83 38.1972 -0 -178.911
2.59259 122.477 42.5499 -0 -188.039
2.61574 117.907 47.1201 -0 -197.43
2.63889 113.148 51.8792 -0 -205.597
2.66204 108.219 56.8088 -0 -212.956
2.68519 103.098 61.9289 -0 -221.191
2.70833 97.8335 67.1938 -0 -227.444
2.73148 92.3735 72.6539 -0 -235.874
2.75463 86.7307 78.2967 -0 -243.77
2.77778 80.9756 84.0518 -0 -248.621
2.80093 75.0981 89.9293 -0 -253.905
2.82407 69.1134 95.9139 -0 -258.538
2.84722 63.0164 102.011 -0 -263.393
2.87037 56.8615 108.166 -0 -265.891
2.89352 50.6214 114.406 -0 -269.572
2.91667 44.3438 120.684 -0 -271.195
2.93981 38.0687 126.959 -0 -271.081
2.96296 31.7737 133.254 -0 -271.946
2.98611 25.508 139.519 -0 -270.679
3.00926 19.3178 145.71 -0 -267.415
3.03241 13.2499 151.778 -0 -262.135
3.05556 7.32704 157.7 -0 -255.866
3.0787 1.64961 163.378 -0 -245.265
3.10185 1.64961 163.378 -0 -0
3.125 1.64961 163.378 -0 -0
3.14815 1.64961 163.378 -0 -0
3.1713 1.64961 163.378 -0 -0
3.19444 1.64961 163.378 -0 -0
3.21759 1.64961 163.378 -0 -0
3.24074 1.64961 163.378 -0 -0
3.26389 1.64961 163.378 -0 -0
3.28704 1.64961 163.378 -0 -0
3.31019 1.64961 163.378 -0 -0
3.33333 1.64961 163.378 -0 -0
3.35648 1.64961 163.378 -0 -0
3.37963 1.64961 163.378 -0 -0
3.40278 1.64961 163.378 -0 -0
3.42593 1.64961 163.378 -0 -0
3.44907 1.64961 163.378 -0 -0
3.47222 1.64961 163.378 -0 -0
3.49537 1.64961 163.378 -0 -0
3.51852 1.64961 163.378 -0 -0
3.54167 1.64961 163.378 -0 -0
3.56481 1.64961 163.378 -0 -0
3.58796 1.64961 163.378 -0 -0
3.61111 1.64961 163.378 -0 -0
3.63426 1.64961 163.378 -0 -0
3.65741 1.64961 163.378 -0 -0
3.68056 1.64961 163.378 -0 -0
